title,release_date,director,cast
Terms of Endearment,1983,James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito, Jeff Daniels, John Lithgow, Lisa Hart Carroll"
1917,2019,Sam Mendes,"George MacKay, Dean-Charles Chapman"
Spies in Disguise,2019,"Nick Bruno, Troy Quane","Will Smith, Tom Holland, Rashida Jones, Ben Mendelsohn, Karen Gillan, DJ Khaled, Reba McEntire"
Just Mercy,2019,Destin Daniel Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson, Tim Blake Nelson, Rafe Spall, O’Shea Jackson Jr."
Little Women,2019,Greta Gerwig,"Saoirse Ronan, Chris Cooper, Louis Garrel, James Norton, Bob Odenkirk, Timothee Chalamet, Laura Dern, Eliza Scanlen, Florence Pugh, Emma Watson, Meryl Streep"
Bombshell,2019,Jay Roach,"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Allison Janney, Connie Britton, Mark Duplass, Malcolm McDowell"
Cats,2019,Tom Hooper,"Francesca Hayward, Judi Dench, Ian McKellan, Idris Elba, Jennifer Hudson, Taylor Swift, James Corden, Rebel Wilson, Laurie Davidson"
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,"Daisy Ridley, Adam Driver, John Boyega, Oscar Isaac, Mark Hamill, Carrie Fisher, Billy Dee Williams, Ian McDiarmid, Kelly Marie Tran, Domhnall Gleeson, Joonas Suotamo, Richard E. Grant, Anthony Daniels"
Uncut Gems,2019,"Benny Safdie, Josh Safdie","Adam Sandler, Julia Fox, Kevin Garnett, Idina Menzel, Lakeith Stanfield, Eric Bogosian, Judd Hirsch"
Richard Jewell,2019,Clint Eastwood,"Paul Walter Houser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde, Nina Arianda"
Fanboys,2009,Kyle Newman,"Sam Huntington, Chris Marquette, Dan Fogler, Jay Baruchel, Kristen Bell"
He's Just Not That Into You,2009,Ken Kwapis,"Ginnifer Goodwin, Kevin Connolly, Justin Long, Bradley Cooper, Ben Affleck, Drew Barrymore, Scarlett Johansson, Jennifer Connelly, Jennifer Aniston, Kris Kristofferson"
"Uninvited, The",2009,The Guard Brothers,"Emily Browning, Arielle Kebbel, David Strathairn, Elizabeth Banks, Jesse Moss"
New in Town,2009,Jonas Elmer,"Renee Zellweger, Harry Connick Jr., Siobhan Fallon Hogan, J.K. Simmons"
Taken,2009,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Olivier Rabourdin, Holly Valance, Xander Berkeley"
Underworld: Rise of the Lycans,2009,Patrick Tatopoulos,"Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh, Kevin Grevioux"
"Moscow, Belgium",2008,Christophe Van Rompaey,"Barbara Sarafian, Jurgen Delnaet, Johan Heldenbergh, Anemone Valcke, Sofia Ferri, Julian Borsani"
Inkheart,2009,Iain Softley,"Brendan Fraser, Eliza Hope Bennett, Paul Bettany, Helen Mirren, Andy Serkis, Jim Broadbent, Sienna Guillory"
"Siege, The",1998,Edward Zwick,"Denzel Washington, Jack Gwaltney, Mark Valley, Lianna Pai, Mosleh Mohamed, Sami Bouajila, Tony Shalhoub, Bruce Willis, Annette Bening, David Proval"
In the Valley of Elah,2007,Paul Haggis,"Tommy Lee Jones, Charlize Theron, Jason Patric, Susan Sarandon, James Franco, Barry Corbin, Josh Brolin"
Oblivion,2013,Joseph Kosinski,"Tom Cruise, Olga Kurylenko, Andrea Riseborough, Morgan Freeman, Nikolaj Coster-Waldau, Melissa Leo"
To the Wonder,2013,Terrence Malick,"Ben Affleck, Olga Kurylenko, Rachel McAdams, Javier Bardem, Tatiana Chiline"
"Hunter, The",2012,Daniel Nettheim,"Willem Dafoe, Frances O'Connor, Sam Neill, Morgana Davies, Finn Woodlock"
Disconnect,2013,Henry Alex Rubin,"Jason Bateman, Alexander Skarsgard, Paula Patton, Max Thieriot, Andrea Riseborough, Colin Ford, Frank Grillo, Jonah Bobo, Hope Davis, Michael Nyqvist"
42,2013,Brian Helgeland,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Merloni, Ryan Merriman, Lucas Black, Alan Tudyk"
Tyrannosaur,2011,Paddy Considine,"Peter Mullan, Olivia Colman, Eddie Marsan, Samuel Bottomley"
Trance,2013,Danny Boyle,"James McAvoy, Vincent Cassel, Rosario Dawson, Danny Sapani, Matt Cross, Wahab Sheikh"
Evil Dead,2013,Fede Alvarez,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Elizabeth Blackmore"
"Host, The",2013,Andrew Niccol,"Saoirse Ronan, Diane Kruger, William Hurt, Max Irons, Jake Abel, Boyd Holbrook, Frances Fisher, Chandler Canterbury"
"Place Beyond the Pines, The",2013,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Eva Mendes, Rose Byrne, Dane DeHaan, Emory Cohen, Ray Liotta, Bruce Greenwood, Ben Mendelsohn"
Whisper of the Heart,2019,Yoshifumi Kondo,"Yoko Honna, Issei Takahashi, Shigeru Tsuyuguchi, Keiju Kobayashi, Maiko Kayama, Yoshimi Nakajima"
Ophelia,2019,Claire McCarthy,"Daisy Ridley, Naomi Watts, Clive Owen, George MacKay, Tom Felton, Dominic Mafham, Devon Terrell"
Yesterday,2019,Danny Boyle,"Himesh Patel, Lily James, Joel Fry, Ed Sheeran, Kate McKinnon, Meera Syal, Sanjeev Bhaskar, Alexander Arnold"
Annabelle Comes Home,2019,Gary Dauberman,"McKenna Grace, Madison Iseman, Katie Sarife, Michael Cimino, Vera Farmiga, Patrick Wilson"
Child's Play,2019,Lars Klevberg,"Aubrey Plaza, Gabriel Bateman, Brian Tyree Henry, Tim Matheson, David Lewis, Mark Hamill"
Toy Story 4,2019,Josh Cooley,"Tom Hanks, Tony Hale, Don Rickles, John Ratzenberger, Wallace Shawn, Keegan-Michael Key, Jordan Peele, Christina Hendricks, Keanu Reeves, Joan Cusack, Annie Potts, Tim Allen, Madeleine McGraw"
"French Connection, The",1971,William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco, Marcel Bozzuffi, Frederic De Pasquale, Bill Hickman, Eddie Egan, Sonny Grosso"
Men in Black International,2019,F. Gary Gray,"Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson, Rafe Spall, Emma Thompson, Liam Neeson, Laurent Bourgeois, Larry Bourgeois"
