name,NetWorth_billions,Country,Source,Rank,Age,Industry,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Jeff Bezos,177,United States,Amazon,1,57,Technology,1995,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Elon Musk,151,United States,"Tesla, SpaceX",2,49,Automotive,1999,investor/founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Bill Gates,124,United States,Microsoft,4,65,Technology,1975,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Mark Zuckerberg,97,United States,Facebook,5,36,Technology,2004,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Warren Buffett,96,United States,Berkshire Hathaway,6,90,Finance & Investments,1839,founder,aquired,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Larry Ellison,93,United States,software,7,76,Technology,1977,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Larry Page,91.5,United States,Google,8,48,Technology,1998,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Sergey Brin,89,United States,Google,9,47,Technology,1998,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Mukesh Ambani,84.5,India,diversified,10,63,Diversified,1980,relation,new,male,South Asia,inherited,Resource Related,Energy,not inherited
Amancio Ortega,77,Spain,Zara,11,85,Fashion & Retail,1975,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Steve Ballmer,68.7,United States,Microsoft,14,65,Technology,1975,CEO,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Ma Huateng,65.8,China,internet media,15,49,Technology,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Alice Walton,61.8,United States,Walmart,17,71,Fashion & Retail,1962,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Jim Walton,60.2,United States,Walmart,18,72,Fashion & Retail,1962,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Michael Bloomberg,59,United States,Bloomberg LP,20,79,Media & Entertainment,1981,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Daniel Gilbert,51.9,United States,Quicken Loans,23,59,Finance & Investments,1985,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Jack Ma,48.4,China,e-commerce,26,56,Technology,1999,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Charles Koch,46.4,United States,Koch Industries,27,85,Diversified,1940,relation,new,male,North America,inherited,Financial,Diversified financial,father
Masayoshi Son,45.4,Japan,"internet, telecom",29,63,Telecom,1981,founder/CEO,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Michael Dell,45.1,United States,Dell computers,30,56,Technology,1984,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Wang Wei,39,China,package delivery,35,50,Service,1993,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
He Xiangjian,37.7,China,home appliances,37,78,Manufacturing,1968,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Dieter Schwarz,36.9,Germany,retail,38,81,Fashion & Retail,1930,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Alain Wertheimer,34.5,France,Chanel,41,72,Fashion & Retail,1909,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
Gerard Wertheimer,34.5,France,Chanel,41,70,Fashion & Retail,1909,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
