Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Saints Row IV,PS3,2013,Action,0.56,0.44,0.09,0.21
Treasures of the Deep,PS,1997,Action,0.1,0.07,0,0.01
Skylanders: Spyro's Adventure,Wii,2011,Action,1.4,1.14,0,0.31
LEGO Batman: The Videogame,PS2,2008,Action,0.72,0.03,0,0.52
Carnage Heart,PS,1995,Strategy,0.01,0.01,0.09,0.01
Super Robot Taisen OG: Original Generations,PS2,2007,Strategy,0,0,0.44,0
Hitman: HD Trilogy,PS3,2013,Action,0.07,0.1,0,0.04
WipEout,PS,1995,Action,0.26,0.18,0,0.03
Super Robot Taisen: Scramble Commander,PS2,2003,Strategy,0,0,0.19,0
New Play Control! Pikmin 2,Wii,2009,Strategy,0.11,0.14,0.33,0.02
Nobunaga no Yabou: Souzou,PS3,2013,Strategy,0,0,0.19,0
Farm Frenzy 3,DS,2011,Strategy,0,0.02,0,0
Ukiyo no Shishi,PS3,2015,Action,0,0,0.03,0
Monsters vs. Aliens,Wii,2009,Action,0.14,0.09,0,0.03
Front Mission 5: Scars of the War,PS2,2005,Strategy,0,0,0.21,0
Primal,PS2,2003,Action,0.21,0.17,0,0.06
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,0.61,0.48,0,0.16
Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,0.11,0.08,0.35,0.03
Terraria,PS3,2013,Action,0.07,0.26,0.09,0.07
007: Quantum of Solace,DS,2008,Action,0.11,0.01,0,0.01
Burger Island,DS,2008,Action,0.15,0,0,0.01
Worms,PS3,2009,Strategy,0,0.02,0,0.01
JU-ON: The Grudge,Wii,2009,Action,0.08,0.01,0.01,0.01
Way of the Samurai 2,PS2,2003,Action,0.05,0.04,0.23,0.01
One Piece: Pirate Warriors,PS3,2012,Action,0.01,0.24,0.86,0.09
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,0.29,0.13,0,0.04
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,2.45,2.01,0.87,0.72
Full Spectrum Warrior,PS2,2005,Strategy,0.15,0.11,0,0.04
KISS Pinball,PS,2001,Action,0.17,0.12,0,0.02
God of War Saga,PS3,2012,Action,0.72,0,0,0.06
The Last Guy,PS3,2009,Action,0,0,0.03,0
Meru Purana,PS,1996,Strategy,0,0,0.01,0
Risk: Global Domination,PS2,2003,Strategy,0.19,0.15,0,0.05
Deadly Creatures,Wii,2009,Action,0.08,0.12,0,0.03
Mission: Impossible,PS,1999,Action,0.29,0.2,0,0.03
Kung Fu Panda 2,DS,2011,Action,0.16,0.05,0,0.02
Darksiders II,PS3,2012,Action,0.35,0.37,0.01,0.14
Romance of the Three Kingdoms XII,PS3,2012,Strategy,0,0,0.09,0
Dishonored,PS3,2012,Action,0.72,0.54,0.04,0.25
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007,Action,0.63,0.37,0,0.11
The Unholy War,PS,1998,Strategy,0.07,0.05,0,0.01
Monster Rancher Battle Card: Episode II,PS,2000,Action,0.04,0.03,0,0
M&Ms Shell Shocked,PS,2001,Action,0.02,0.01,0,0
T.A.C. Heroes : Big Red One,DS,2010,Strategy,0.02,0,0,0
Command & Conquer: Red Alert,PS,1997,Strategy,0.23,0.16,0,0.03
Blasto,PS,1998,Action,0.2,0.13,0,0.02
Naruto Shippuden: Naruto vs. Sasuke,DS,2008,Action,0.08,0,0.03,0.01
Worms: A Space Oddity,Wii,2008,Strategy,0.06,0.02,0,0.01
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006,Action,0.15,0,0,0.01
GoldenEye 007 (2010),DS,2010,Action,0.11,0.03,0,0.01
Splatterhouse,PS3,,Action,0.13,0.02,0,0.02
Rampage: Total Destruction,Wii,2006,Action,0.19,0.01,0,0.02
Deathtrap Dungeon,PS,1998,Action,0.19,0.13,0,0.02
Minority Report: Everybody Runs,PS2,2002,Action,0.2,0.15,0,0.05
Go Diego Go! Safari Rescue,Wii,2008,Action,0.48,0.01,0,0.04
Shrek the Third,Wii,2007,Action,0.26,0.01,0,0.02
Crash of the Titans,DS,2007,Action,0.42,0.02,0,0.04
Pirates of the Caribbean: At World's End,PS3,2007,Action,0.17,0.41,0,0.15
True Crime: Streets of LA,PS2,2003,Action,1.89,1.05,0.02,0.31
Tomb Raider: Anniversary,Wii,2007,Action,0.12,0.63,0,0.11
Dynasty Warriors: Gundam 2,PS2,2008,Action,0.04,0.03,0.25,0.01
Ninja Gaiden Sigma 2,PS3,2009,Action,0.52,0.16,0.08,0.1
Chaos Legion,PS2,2003,Action,0.15,0.12,0,0.04
Go Diego Go! Great Dinosaur Rescue,DS,2008,Action,0.44,0.01,0,0.03
Sengoku Basara 2,PS2,2006,Action,0,0,0.26,0
Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Action,0.39,0,0.53,0.03
